key,ticker,name,description,start-moment,end-moment,more-info,draft-mode,key:inventor
invention-23,AA23-ABCDE9,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2200-12-31 23:59,2201-01-01 00:00,http://lorem.com/ipsum,true,inventor-01
invention-24,BB24-FGHIJ0,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://a.b,true,inventor-01
invention-25,CC25-LMNOP0,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",true,inventor-01
invention-26,DD26-PQRST0,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",true,inventor-01
invention-27,EE27-VWXYZ0,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://www.lorem-ipsum.org,true,inventor-01
invention-28,FF28-ABCDE0,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,https://www.lorem-ipsum.org,true,inventor-01
invention-29,GG29-FGHIJ0,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://www.lorem-ipsum.org/dolor/sit.html,true,inventor-01
invention-30,HH30-KLMNO0,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://www.lorem-ipsum.org/dolor/sit.html#dolor,true,inventor-01
invention-31,II31-PQRST0,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://example.org?a=1&b=2,true,inventor-01
invention-32,JJ32-UVWXY0,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://example.org?,true,inventor-01
invention-33,KK33-ZABCD0,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://example.org?a,true,inventor-01
invention-34,AA34-ABCDE1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://example.org?a&b,true,inventor-01
invention-35,BB35-FGHIJ1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://example.org/,true,inventor-01
invention-36,CC36-LMNOP1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://example.org/a,true,inventor-01
invention-37,DD37-PQRST1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://example.org/a/b,true,inventor-01
invention-38,EE38-VWXYZ1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://example.org/a/b?,true,inventor-01
invention-39,FF39-ABCDE1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://example.org/a/b?a&b,true,inventor-01
invention-40,GG40-FGHIJ1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-41,HH41-KLMNO1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,true,inventor-01
invention-42,II42-PQRST1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,false,inventor-01
invention-43,JJ43-UVWXY1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025-08-01 00:00,2025-08-01 00:01,http://lorem.com/ipsum,false,inventor-02
